Title,English,Japanese,Toki Pona
"Code","Code
","",""
"Description","Description","",""
"Generic code","Generic code implementations:
Program once and keep reusing","",""
"Show with output","Show with output","",""
"Show without output","Show without output","",""
"Step by step guide","Step by step guide to UdonSharp","",""
"Tutorials start here","Turorials start here","",""
"LocalInteract title","Local interact
Using Interact()","",""
"LocalInteract description","Basics about Interact():
A common way to trigger a script in VRChat is to use the Interact() function. It is attached to a collider, which is highlighted and a text appears when the players hand or cursor is close enough to interact.

Detailed mechanics:
Each click by the player runs the script once. Clicking and holding only runs the script once at the beginning. The release is not detected as far as I'm aware.

About the example:
Clicking on the cube toggles the sphere on and off. Since the script does not forward information to other players, the change is purely local.","",""
"Manually synced interact title","Manually synced interact
Using [UdonSynced], SetOwner(), LocalPlayer, RequestSerialization(), OnDeserialization()","",""
"Manually synced interact description","Multiplayer elements in general:
VRChat is mostly a multiplayer game. Therefore, it often makes sense to synchronize information with other players. This can be done in different ways.

About Synced variables and ownership:
One way of doing this is to use a synchronized variable. The idea is that a variable has the same value for each player. This is done by defining an owner of an object, who holds the correct value and shares it with the other players. If another player wants to share the information, they need to first declare ownership.
- A synchronized variable can be identified with [UdonSynced]
- Ownership can be requested with Networking.SetOwner()
- The local player is found with Networking.LocalPlayer

About Serialization and Deserialization:
The process of packing and sending the data out from the owner is called Serialization. The process of receiving and unpacking the data is called Deserialization. Unity and VRChat do these steps themself when told, but there are some options.
- If the Synchronization Method is set to Continuous, the variable is sent out to other players multiple times per second if possible.
- If the Synchronization Method is set to Manual, the variables can be sent out with RequestSerialization(). Also, the current state is automatically requested from the owner once a new player joins.
- The Synchronization type can be set by adding the identifier [UdonBehaviourSyncMode(BehaviourSyncMode.Type)] just before the main class declaration. While this can also be set in the inspector, it usually makes sense from a workflow side to set it the program itself.
- Once data is received, the OnDeserialization() method is called, which can be defined by you. Note that this does not run for the owner.

About this implementation:
We want to synchronize the toggle of the cube with the other players. The current state is shared with the boolean ShouldBeActive. When interacting with the trigger, the following steps happen:
- The ownership is set to the local player
- The boolean is flipped
- The new sphere activation state is set
- The information is sent out.
When players receive the information, the new sphere activation state is set.

Also good to know:
- Just like any other non-static variable in UdonSharp, the value is not shared between local objects of the same class type. So, 2 objects can share the same script but will each have their own synced variable.

- Note that not all types of variables can be synchronize directly. Only:
  Normal and array: bool, char, byte, sbyte, short, ushort, int, uint, long, ulong, float, double, Vector2, Vector3, Vector4, Quaternion, Color and Color32
  Not as arrays: string, VRCUrl","",""
"Synced variable title","Synced Variable
Using UdonSyncMode","",""
"Synced variable description","About continuous synchronization:
It makes sense to synchronize some variables continuously. However, the data is usually only received a few times per second. So far less often than the framerate. There are different ways of handling the time in between.
- The default behavior is using the UdonSyncMode None. This only updates the variable to the latest known state. This means the variable will jump once data is received.
- The linear behavior increases the value linearly. This makes the change more smoothly but still very predictable
- The smooth behaviour increases the value smoothly. This can however make the value overshoot sometimes.

About this implementation:
The owner makes the sphere lerp between random points. The position of the sphere is then sent out to the other players as different variables, each with their own sync behavior. The difference between the behaviors is visible for everyone who isn't the owner.","",""
"Synced event title","Synced Event
Using SendCustomNetworkEvent()","",""
